name,description,category_parent,category_name,category_slug,tags,price,rarity,reality_type,status,catalog_version,generation_seed,danger,luxury,novelty,historical_value,technology_level,natural_significance,fantasy_level,space_affinity,power
Celestial Cultural Treasure,This historical cultural treasure combines cultural character with historic value and rare appeal.,Art & Culture,Cultural Treasure,cultural-treasure,cultural|historic|rare|valuable,22010000000000,0.6912,historical,available,synthetic_product_v1,42,0.1597,0.937,0.7703,1.0,0.1783,0.283,0.279,0.0456,0.7599
Northern Lights,This real natural phenomenon combines natural character with powerful value and beautiful appeal.,Abstract & Phenomena,Natural Phenomenon,natural-phenomenon,natural|powerful|beautiful|dangerous|rare,3319000000000000000,0.8125,real,available,synthetic_product_v1,42,0.8953,0.6666,0.9254,0.3283,0.1584,0.9661,0.3824,0.1248,0.7897
A Solar Eclipse,"A Solar Eclipse is a real natural phenomenon selected for its natural, powerful, and beautiful qualities.",Abstract & Phenomena,Natural Phenomenon,natural-phenomenon,natural|powerful|beautiful|dangerous|mysterious|destructive,2485000000000000000,0.8867,real,available,synthetic_product_v1,42,0.9196,0.6597,0.9571,0.3051,0.0711,0.9634,0.3595,0.0182,0.9007
A Perfect Storm,"A Perfect Storm is a speculative natural phenomenon selected for its natural, powerful, and beautiful qualities.",Abstract & Phenomena,Natural Phenomenon,natural-phenomenon,natural|powerful|beautiful|dangerous|destructive|exclusive,8701000000000000000,0.7568,speculative,available,synthetic_product_v1,42,0.9514,0.5878,0.8133,0.2287,0.1658,1.0,0.3983,0.1499,0.8644
Crimson Natural Phenomenon,"Crimson Natural Phenomenon is a real natural phenomenon selected for its natural, powerful, and beautiful qualities.",Abstract & Phenomena,Natural Phenomenon,natural-phenomenon,natural|powerful|beautiful|dangerous|destructive,326300000000000000,0.7242,real,available,synthetic_product_v1,42,0.8913,0.5137,0.9303,0.3542,0.0395,0.9855,0.4357,0.065,0.88
Silent Natural Phenomenon,This real natural phenomenon combines natural character with powerful value and beautiful appeal.,Abstract & Phenomena,Natural Phenomenon,natural-phenomenon,natural|powerful|beautiful|dangerous|rare|mysterious,15080000000000000000,0.8749,real,sold_out,synthetic_product_v1,42,0.8784,0.6573,0.9822,0.2624,0.0098,0.9495,0.3186,0.0889,0.988
Luck,A transferable measure of improbable good fortune with unpredictable side effects.,Abstract & Phenomena,Concept,concept,impossible|mysterious|powerful|valuable|rare|fantasy,399200000000000000000,0.9772,abstract,available,synthetic_product_v1,42,0.4158,0.8483,0.9568,0.7437,0.1843,0.2479,0.8738,0.0687,1.0
Silence,"Silence is a abstract concept selected for its impossible, mysterious, and powerful qualities.",Abstract & Phenomena,Concept,concept,impossible|mysterious|powerful|valuable|rare,38950000000000000000,0.8518,abstract,coming_soon,synthetic_product_v1,42,0.3748,0.7767,0.861,0.7058,0.1434,0.3504,0.7928,0.1632,1.0
Infinite Patience,"A singular concept known for being impossible, mysterious, and unusually powerful.",Abstract & Phenomena,Concept,concept,impossible|mysterious|powerful|valuable|legendary,342500000000000000000,0.9191,abstract,available,synthetic_product_v1,42,0.4812,0.6901,1.0,0.7522,0.1651,0.2537,0.9277,0.0,0.9879
Crimson Abstract Concept,This abstract concept combines impossible character with mysterious value and powerful appeal.,Abstract & Phenomena,Concept,concept,impossible|mysterious|powerful|valuable|fantasy,776300000000000000000,0.9378,abstract,available,synthetic_product_v1,42,0.3146,0.7326,1.0,0.7796,0.1742,0.3704,0.8774,0.1745,0.9855
Silent Abstract Concept,This abstract concept combines impossible character with mysterious value and powerful appeal.,Abstract & Phenomena,Concept,concept,impossible|mysterious|powerful|valuable|rare|exclusive,44440000000000000000,0.7959,abstract,available,synthetic_product_v1,42,0.4764,0.7282,1.0,0.703,0.0645,0.3101,0.7781,0.0586,0.9942
One Extra Hour Per Day,"A private twenty-fifth hour added to every day, visible only to its owner.",Abstract & Phenomena,Time & Reality,time-reality,impossible|mysterious|powerful|exclusive|luxury,4081000000000000000000000,0.987,abstract,available,synthetic_product_v1,42,0.8032,0.9391,0.9263,0.652,0.6203,0.1723,1.0,0.4697,0.9438
A Second Timeline,This speculative time & reality combines impossible character with mysterious value and powerful appeal.,Abstract & Phenomena,Time & Reality,time-reality,impossible|mysterious|powerful|exclusive,457200000000000000000000,0.7692,speculative,coming_soon,synthetic_product_v1,42,0.8938,0.9644,0.959,0.6482,0.7068,0.1717,1.0,0.3328,1.0
Yesterday,This abstract time & reality combines impossible character with mysterious value and powerful appeal.,Abstract & Phenomena,Time & Reality,time-reality,impossible|mysterious|powerful|exclusive|valuable|rare,347900000000000000000000,0.8262,abstract,available,synthetic_product_v1,42,0.7461,0.8624,0.9638,0.6429,0.7161,0.1546,0.8934,0.4326,0.9516
Crimson Reality Fragment,"Crimson Reality Fragment is a speculative time & reality selected for its impossible, mysterious, and powerful qualities.",Abstract & Phenomena,Time & Reality,time-reality,impossible|mysterious|powerful|exclusive|luxury|rare,8503000000000000000000000,0.7644,speculative,available,synthetic_product_v1,42,0.9027,0.938,0.8998,0.6861,0.7373,0.111,1.0,0.4797,0.9945
Silent Reality Fragment,"A singular time & reality known for being impossible, mysterious, and unusually powerful.",Abstract & Phenomena,Time & Reality,time-reality,impossible|mysterious|powerful|exclusive|valuable|dangerous,5338000000000000000000000,0.97,speculative,available,synthetic_product_v1,42,0.7949,0.8552,0.9408,0.6093,0.7292,0.1336,0.9905,0.3201,1.0
